SettlementPoint,HourlyVolatility,Year
HB_BUSAVG,0.18537746625990242,2016
HB_HOUSTON,0.19096241815833098,2016
HB_HUBAVG,0.18733388668093048,2016
HB_NORTH,0.18407989584843568,2016
HB_SOUTH,0.20838747166142327,2016
HB_WEST,0.20692984005816897,2016
HB_BUSAVG,0.15352087701708547,2017
HB_HOUSTON,0.17011474586537545,2017
HB_HUBAVG,0.15774252145072887,2017
HB_NORTH,0.152278577404584,2017
HB_SOUTH,0.15539046561653036,2017
HB_WEST,0.2393755965026441,2017
HB_BUSAVG,0.20053834564007142,2018
HB_HOUSTON,0.2006195968636592,2018
HB_HUBAVG,0.20216828395266656,2018
HB_NORTH,0.20055899011848843,2018
HB_SOUTH,0.19890068582585074,2018
HB_WEST,0.28735393805391124,2018
HB_BUSAVG,0.2807741487572828,2019
HB_HOUSTON,0.2798805749246971,2019
HB_HUBAVG,0.28128127879708276,2019
HB_NORTH,0.28107449770173654,2019
HB_PAN,0.5474307364306349,2019
HB_SOUTH,0.2813185558371414,2019
HB_WEST,0.2963103718102342,2019
